Date,Total Demand,RRP,Hour,Minute,Month,Quarter,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
2023-04-02,5293.32,275.84,18,30,4,2,2,8.7,18.3,0.2,22.0,13.3,68.0,1022.0,17.8,54.0,11.0,1019.4,6.0
2023-04-03,5848.56,284.93,18,30,4,2,3,8.8,22.6,0.0,19.0,13.3,78.0,1020.4,20.7,63.0,11.0,1016.5,7.0
2023-04-04,5662.01,272.77,18,30,4,2,4,12.0,21.7,0.0,28.0,16.6,81.0,1019.3,20.7,73.0,11.0,1016.3,7.0
2023-04-05,5731.1,299.5,18,0,4,2,5,13.8,18.4,0.0,22.0,16.8,76.0,1018.8,18.0,68.0,9.0,1016.4,2.0
2023-04-06,5516.27,169.09,18,0,4,2,6,13.4,26.3,0.0,43.0,17.0,79.0,1012.3,24.2,40.0,17.0,1007.4,6.0
2023-04-07,4968.37,54.54,18,30,4,2,7,16.1,19.9,4.4,41.0,17.9,71.0,999.3,18.0,62.0,17.0,997.3,13.0
2023-04-08,5123.7,82.97,18,30,4,2,8,13.7,18.0,11.2,35.0,14.9,79.0,1006.1,15.0,76.0,15.0,1005.7,13.0
2023-04-09,5361.89,95.98,18,30,4,2,9,10.5,15.5,7.8,43.0,11.7,84.0,1012.5,14.1,60.0,17.0,1012.8,9.0
2023-04-10,5786.38,262.97,18,30,4,2,10,10.1,15.2,14.8,35.0,13.4,70.0,1014.5,14.9,64.0,13.0,1013.4,15.0
2023-04-11,5826.37,145.35,18,30,4,2,11,11.9,19.1,6.0,19.0,14.7,81.0,1016.0,18.8,61.0,9.0,1010.9,2.0
2023-04-12,5802.04,268.48,18,0,4,2,12,12.6,19.3,7.0,41.0,13.3,88.0,1004.8,18.6,64.0,20.0,1004.3,13.0
2023-04-13,5679.0,241.01,18,30,4,2,13,11.2,22.8,4.4,28.0,15.3,89.0,1015.7,22.2,52.0,11.0,1015.2,4.0
2023-04-14,5484.4,120.34,18,30,4,2,14,10.8,25.4,0.0,20.0,14.1,93.0,1015.5,24.5,44.0,11.0,1010.0,9.0
2023-04-15,5396.95,272.53,18,0,4,2,15,13.8,21.2,0.0,54.0,20.6,51.0,1001.1,18.5,69.0,15.0,999.5,20.0
2023-04-16,5492.13,181.0,18,30,4,2,16,12.1,17.2,38.4,35.0,12.7,93.0,1004.3,16.4,68.0,9.0,1009.5,9.0
2023-04-17,6023.9,299.5,18,30,4,2,17,8.7,20.7,2.0,24.0,14.8,66.0,1022.7,19.6,57.0,2.0,1021.9,7.0
2023-04-18,5609.36,299.5,18,0,4,2,18,13.4,22.8,0.0,35.0,16.8,70.0,1023.6,22.3,48.0,17.0,1019.1,7.0
2023-04-19,6042.88,282.13,18,0,4,2,19,14.4,17.5,1.2,28.0,14.8,66.0,1022.0,15.8,53.0,9.0,1022.1,9.0
2023-04-20,6084.21,314.62,18,30,4,2,20,7.8,18.5,0.0,17.0,12.4,72.0,1026.8,17.5,58.0,4.0,1025.5,7.0
2023-04-21,5903.6,309.23,18,30,4,2,21,11.3,19.0,0.0,13.0,14.8,78.0,1030.5,18.6,64.0,2.0,1029.2,6.0
